Area,AreaRegion,Harvest Option (from Science advice),FSC,SOK ABORIG COMML,SOK J - LICENCE,Roe herring SEINE,Roe herringGILLNET,WINTER FOOD & BAIT (ZM),PERSonaL USE BAIT (ZX),SPORT BAIT (ZY1),COMML BAIT (ZY2),HUMAN FOOD (ZY3),ZOO & AQUAR (ZY4)
FisheryType,NA,NA,FSC,SOK,SOK,Roe,Roe,Food and Bait,Special Use,Special Use,Special Use,Special Use,Special Use
Area 2W,MinorStock,67,,,67,,,,,,,,
HG,HG,,150,,,,,,,,,,
PRD,PRD,1600,600,,1000,,,,,,,,
Area 10,MinorStock,,,,105,,,,,,,,
CC,CC,1865,600,665,600,,,,,,,,
Area 12,MinorStock,,,,100,,,,,,,,
SOG,SOG,28430,35,,,10021,11472,6000,25,617,,150,110
Area 27,MinorStock,115,,,105,,,,,,,,
WCVI,WCVI,,150,,,,,,,,,,